Month,Use (kWh),Solar (kWh),Self-use (kWh),Export (kWh),Grid Import (kWh),Revenue,Savings,Total Benefit
January,3424.9,1749.0,1749.0,0,1675.9,0.0,524.7,524.7
February,3126.02,2028.0,2028.0,0,1098.02,0.0,608.4,608.4
March,2359.0,3684.0,2359.0,1325.0,0,198.75,707.7,906.45
April,1749.05,4283.0,1749.05,2533.95,0,380.09,524.71,904.81
May,1033.87,5082.0,1033.87,4048.13,0,607.22,310.16,917.38
June,884.74,5337.0,884.74,4452.26,0,667.84,265.42,933.26
July,1097.01,5622.0,1097.01,4524.99,0,678.75,329.1,1007.85
August,1017.41,4917.0,1017.41,3899.59,0,584.94,305.22,890.16
September,884.44,3789.0,884.44,2904.56,0,435.68,265.33,701.02
October,1649.93,2577.0,1649.93,927.07,0,139.06,494.98,634.04
November,2581.64,1625.0,1625.0,0,956.64,0.0,487.5,487.5
December,3310.53,1311.0,1311.0,0,1999.53,0.0,393.3,393.3
TOTAL,23118.54,42004.0,17388.44,24615.56,5730.09,3692.33,5216.53,8908.87
Initial Cost,,,,,,,,22000
Year 1 Net Benefit,,,,,,,,-13091.13
Simple Payback (years),,,,,,,,2.47
