Month,Use (kWh),Solar (kWh),Self-use (kWh),Export (kWh),Grid Import (kWh),Revenue,Savings,Total Benefit
January,2721.07,825.0,825.0,0,1896.07,0.0,247.5,247.5
February,2735.27,1231.0,1231.0,0,1504.27,0.0,369.3,369.3
March,2519.51,2424.0,2424.0,0,95.51,0.0,727.2,727.2
April,2225.69,3614.0,2225.69,1388.31,0,208.25,667.71,875.95
May,1811.21,4204.0,1811.21,2392.79,0,358.92,543.36,902.28
June,1437.9,4205.0,1437.9,2767.1,0,415.07,431.37,846.43
July,1172.46,4077.0,1172.46,2904.54,0,435.68,351.74,787.42
August,1212.21,3463.0,1212.21,2250.79,0,337.62,363.66,701.28
September,1487.58,2587.0,1487.58,1099.42,0,164.91,446.27,611.19
October,1841.02,1641.0,1641.0,0,200.02,0.0,492.3,492.3
November,2316.53,835.0,835.0,0,1481.53,0.0,250.5,250.5
December,2603.26,642.0,642.0,0,1961.26,0.0,192.6,192.6
TOTAL,24083.71,29748.0,16945.04,12802.96,7138.67,1920.44,5083.51,7003.96
Initial Cost,,,,,,,,18000
Year 1 Net Benefit,,,,,,,,-10996.04
Simple Payback (years),,,,,,,,2.57
