New simulation variant,
Balances and main results,
,GlobHor,DiffHor,T_Amb,GlobInc,GlobEff,EArray,E_Grid,PR,
,kWh/m²,kWh/m²,°C,kWh/m²,kWh/m²,kWh,kWh,ratio,
January,40.2,24.68,2.04,56.6,54.9,1749,1680,0.915,
February,52.2,30.76,4.00,66.7,64.8,2028,1951,0.903,
March,104.1,51.68,9.03,124.1,121.0,3684,3554,0.884,
April,133.1,69.79,13.03,146.9,143.2,4283,4133,0.868,
May,173.3,86.82,17.72,178.9,174.4,5082,4903,0.846,
June,190.6,81.87,22.17,192.5,187.7,5337,5148,0.826,
July,200.1,72.00,24.49,205.9,201.1,5622,5422,0.813,
August,165.8,71.32,23.62,178.3,173.9,4917,4745,0.821,
September,114.4,50.17,18.70,133.6,130.2,3789,3653,0.844,
October,70.6,41.06,13.68,87.7,85.3,2577,2481,0.873,
November,39.5,23.91,7.57,54.0,52.4,1625,1559,0.892,
December,31.2,21.72,2.79,42.6,41.3,1311,1254,0.908,
Year,1315.1,625.79,13.29,1467.9,1430.1,42003,40483,0.851,
