New simulation variant,
Balances and main results,
,GlobHor,DiffHor,T_Amb,GlobInc,GlobEff,EArray,E_Grid,PR,
,kWh/m²,kWh/m²,°C,kWh/m²,kWh/m²,kWh,kWh,ratio,
January,40.2,24.68,2.04,54.1,52.2,205.5,194.3,0.897,
February,52.2,30.76,4.00,63.9,61.8,239.3,227.4,0.889,
March,104.1,51.68,9.03,121.0,117.9,443.9,425.7,0.880,
April,133.1,69.79,13.03,145.3,141.6,523.6,502.6,0.865,
May,173.3,86.82,17.72,177.0,172.7,622.3,597.6,0.844,
June,190.6,81.87,22.17,192.5,188.0,661.0,635.3,0.825,
July,200.1,72.00,24.49,204.9,200.3,692.7,665.7,0.812,
August,165.8,71.32,23.62,176.9,172.8,604.2,580.8,0.821,
September,114.4,50.17,18.70,130.2,126.9,456.8,437.8,0.841,
October,70.6,41.06,13.68,84.6,82.0,306.4,291.7,0.862,
November,39.5,23.91,7.57,51.9,50.1,192.2,181.3,0.874,
December,31.2,21.72,2.79,40.9,39.3,154.2,144.6,0.885,
Year,1315.1,625.79,13.29,1443.2,1405.6,5102.0,4884.8,0.846,
