mod12,
Balances and main results,
,GlobHor,DiffHor,T_Amb,GlobInc,GlobEff,EArray,E_User,E_Solar,E_Grid,EFrGrid,
,kWh/m²,kWh/m²,°C,kWh/m²,kWh/m²,kWh,kWh,kWh,kWh,kWh,
January,40.2,24.68,2.04,54.1,52.2,246.5,1903,234.5,0.0,1668,
February,52.2,30.76,4.00,63.9,61.8,287.2,1754,274.2,0.0,1480,
March,104.1,51.68,9.03,121.0,117.9,532.7,1370,473.5,38.8,896,
April,133.1,69.79,13.03,145.3,141.6,628.3,1065,486.8,118.0,578,
May,173.3,86.82,17.72,177.0,172.7,746.8,707,405.1,313.9,302,
June,190.6,81.87,22.17,192.5,188.0,793.2,686,403.7,360.4,282,
July,200.1,72.00,24.49,204.9,200.3,831.2,731,417.5,383.2,314,
August,165.8,71.32,23.62,176.9,172.8,725.0,686,383.4,315.2,303,
September,114.4,50.17,18.70,130.2,126.9,548.2,686,313.0,213.9,373,
October,70.6,41.06,13.68,84.6,82.0,367.6,1016,310.3,41.4,706,
November,39.5,23.91,7.57,51.9,50.1,230.6,1481,218.9,0.0,1262,
December,31.2,21.72,2.79,40.9,39.3,185.1,1845,174.8,0.0,1670,
Year,1315.1,625.79,13.29,1443.2,1405.6,6122.4,13930,4095.8,1784.8,9834,
