mod10,
Energy use and User's needs,
,E_Avail,E_User,E_Grid,SolFrac,PR,
,kWh,kWh,kWh,ratio,ratio,
January,191.6,1903,0.0,0.101,0.885,
February,225.5,1754,0.0,0.129,0.882,
March,425.9,1370,11.9,0.302,0.880,
April,504.9,1065,59.5,0.418,0.869,
May,603.8,707,218.0,0.546,0.853,
June,645.7,686,254.2,0.571,0.838,
July,679.3,731,275.7,0.552,0.829,
August,590.7,686,224.1,0.534,0.835,
September,442.0,686,145.2,0.433,0.849,
October,291.4,1016,17.4,0.270,0.861,
November,179.7,1481,0.0,0.121,0.866,
December,142.4,1845,0.0,0.077,0.871,
Year,4923.2,13930,1206.0,0.267,0.853,
