New simulation variant,
Balances and main results,
,GlobHor,DiffHor,T_Amb,GlobInc,GlobEff,EArray,E_Grid,PR,
,kWh/m²,kWh/m²,°C,kWh/m²,kWh/m²,kWh,kWh,ratio,
January,23.0,14.61,5.33,31.2,29.5,825,783,0.871,
February,39.4,23.45,5.23,45.9,44.0,1231,1178,0.891,
March,81.6,44.54,6.75,90.5,87.3,2424,2334,0.896,
April,125.7,60.76,8.82,136.5,132.8,3614,3485,0.887,
May,158.5,68.42,11.74,161.7,157.6,4204,4050,0.870,
June,167.6,87.93,14.37,163.0,158.3,4205,4055,0.864,
July,159.8,82.81,16.24,159.3,155.0,4077,3930,0.856,
August,127.7,74.65,15.96,134.3,130.5,3463,3338,0.863,
September,92.8,53.76,14.02,99.3,96.2,2587,2491,0.871,
October,53.5,28.67,11.53,62.9,60.4,1641,1573,0.869,
November,26.5,17.94,8.18,32.0,30.2,835,792,0.859,
December,18.5,12.38,6.16,24.7,23.1,642,605,0.849,
Year,1074.5,569.92,10.39,1141.2,1104.8,29747,28615,0.871,
