mod12,
Balances and main results,
,GlobHor,DiffHor,T_Amb,GlobInc,GlobEff,EArray,E_User,E_Solar,E_Grid,EFrGrid,
,kWh/m²,kWh/m²,°C,kWh/m²,kWh/m²,kWh,kWh,kWh,kWh,kWh,
January,23.0,14.61,5.33,41.5,40.3,197.5,1538,186.6,1.0,1351,
February,39.4,23.45,5.23,60.6,58.9,288.1,1545,272.5,2.8,1273,
March,81.6,44.54,6.75,109.5,106.2,515.2,1437,444.7,50.3,992,
April,125.7,60.76,8.82,143.8,139.4,667.7,1290,538.5,103.9,752,
May,158.5,68.42,11.74,166.0,160.8,758.6,1083,504.7,224.5,578,
June,167.6,87.93,14.37,166.2,160.6,754.5,896,484.3,241.0,412,
July,159.8,82.81,16.24,159.8,154.5,721.4,763,414.0,279.1,349,
August,127.7,74.65,15.96,136.4,131.7,619.1,783,394.5,200.1,389,
September,92.8,53.76,14.02,113.9,110.4,522.4,921,375.4,126.2,546,
October,53.5,28.67,11.53,79.0,76.7,365.8,1097,286.3,63.6,811,
November,26.5,17.94,8.18,44.3,42.8,208.0,1336,191.2,5.9,1145,
December,18.5,12.38,6.16,35.3,34.1,167.2,1479,158.0,0.0,1321,
Year,1074.5,569.92,10.39,1256.3,1216.5,5785.5,14169,4250.8,1298.5,9918,
