New simulation variant,
Balances and main results,
,GlobHor,DiffHor,T_Amb,GlobInc,GlobEff,EArray,E_Grid,PR,
,kWh/m²,kWh/m²,°C,kWh/m²,kWh/m²,kWh,kWh,ratio,
January,23.0,14.61,5.33,44.9,43.7,236.9,226.1,0.899,
February,39.4,23.45,5.23,63.7,62.1,333.8,319.9,0.897,
March,81.6,44.54,6.75,112.0,108.7,578.8,556.8,0.887,
April,125.7,60.76,8.82,141.9,137.3,721.0,694.1,0.874,
May,158.5,68.42,11.74,160.0,154.7,797.8,767.1,0.856,
June,167.6,87.93,14.37,158.4,152.4,783.6,753.5,0.849,
July,159.8,82.81,16.24,152.7,147.1,750.4,721.1,0.843,
August,127.7,74.65,15.96,132.6,127.8,656.4,630.8,0.849,
September,92.8,53.76,14.02,114.5,110.9,573.7,551.6,0.860,
October,53.5,28.67,11.53,82.4,80.1,417.3,400.0,0.867,
November,26.5,17.94,8.18,47.3,45.9,245.4,233.8,0.883,
December,18.5,12.38,6.16,38.5,37.4,202.2,192.3,0.892,
Year,1074.5,569.92,10.39,1249.0,1208.0,6297.3,6046.9,0.865,
