New simulation variant,
Energy use and User's needs,
,E_Avail,E_User,E_Grid,SolFrac,PR,
,kWh,kWh,kWh,ratio,ratio,
January,147.2,1538,0.0,0.096,0.886,
February,215.9,1545,0.0,0.140,0.891,
March,387.9,1437,9.6,0.263,0.886,
April,502.1,1290,32.7,0.364,0.873,
May,567.5,1083,109.2,0.423,0.855,
June,564.1,896,119.8,0.496,0.848,
July,538.0,763,156.7,0.500,0.842,
August,462.4,783,106.6,0.454,0.848,
September,390.8,921,57.2,0.362,0.858,
October,272.9,1097,23.6,0.227,0.863,
November,154.3,1336,0.1,0.115,0.872,
December,123.8,1479,0.0,0.084,0.876,
Year,4326.9,14168,615.5,0.262,0.861,
