mod14,
Energy use and User's needs,
,E_Avail,E_User,E_Grid,SolFrac,PR,
,kWh,kWh,kWh,ratio,ratio,
January,208.3,1538,3.6,0.133,0.896,
February,304.7,1545,8.6,0.192,0.898,
March,545.9,1437,74.1,0.328,0.890,
April,705.7,1290,142.0,0.437,0.876,
May,797.7,1083,274.2,0.483,0.858,
June,793.3,896,294.3,0.557,0.852,
July,756.9,763,331.3,0.558,0.846,
August,651.0,783,241.6,0.523,0.852,
September,550.3,921,158.1,0.426,0.862,
October,384.7,1097,84.1,0.274,0.869,
November,218.5,1336,10.7,0.156,0.882,
December,175.6,1479,0.7,0.118,0.887,
Year,6092.6,14169,1623.3,0.315,0.866,
